run_id,tag,method,dataset,backbone,train_fraction,num_classes,epochs,batch_size,lr,seed,trainable_params,total_params,pct_trainable,best_acc,final_acc,peak_mem_mb,train_time_s,time_per_epoch_s,throughput_img_s,model,lora_r,adapter_dim,vpt_prompts
fracEff__vit_b__bitfit__dtd__s42__f25__r8__a64__p20,fracEff,bitfit,dtd,vit_b,0.25,47,20,128,0.001,42,139055,85834799,0.162,70.957,70.638,6348.6,194.1,9.7,92.3,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__bitfit__dtd__s42__f50__r8__a64__p20,fracEff,bitfit,dtd,vit_b,0.5,47,20,128,0.001,42,139055,85834799,0.162,76.17,75.638,6348.6,262.2,13.1,136.7,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora__dtd__s42__f5__r8__a64__p20,fracEff,lora,dtd,vit_b,0.05,47,20,128,0.001,42,331055,86129711,0.3844,39.309,39.255,7125.4,150.3,7.5,17.0,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora__dtd__s42__f10__r8__a64__p20,fracEff,lora,dtd,vit_b,0.1,47,20,128,0.001,42,331055,86129711,0.3844,58.032,57.553,7126.8,158.3,7.9,32.4,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora__dtd__s42__f25__r8__a64__p20,fracEff,lora,dtd,vit_b,0.25,47,20,128,0.001,42,331055,86129711,0.3844,72.021,71.755,7126.8,214.7,10.7,83.5,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora__dtd__s42__f50__r8__a64__p20,fracEff,lora,dtd,vit_b,0.5,47,20,128,0.001,42,331055,86129711,0.3844,78.191,78.085,7126.8,284.3,14.2,126.1,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__adaptformer__dtd__s42__f5__r8__a64__p20,fracEff,adaptformer,dtd,vit_b,0.05,47,20,128,0.001,42,1225787,87024443,1.4086,43.457,43.457,6829.2,147.3,7.4,17.4,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__adaptformer__dtd__s42__f10__r8__a64__p20,fracEff,adaptformer,dtd,vit_b,0.1,47,20,128,0.001,42,1225787,87024443,1.4086,58.404,57.819,6829.2,150.7,7.5,34.0,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__adaptformer__dtd__s42__f25__r8__a64__p20,fracEff,adaptformer,dtd,vit_b,0.25,47,20,128,0.001,42,1225787,87024443,1.4086,73.032,72.979,6829.2,200.5,10.0,89.4,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__adaptformer__dtd__s42__f50__r8__a64__p20,fracEff,adaptformer,dtd,vit_b,0.5,47,20,128,0.001,42,1225787,87024443,1.4086,78.138,77.979,6829.2,268.6,13.4,133.5,vit_base_patch16_224.augreg_in21k,8,64,20
